class,noise_type,filter,psnr,ssim
without_mask,gaussian,median,25.506348961146674,0.6766528787497562
without_mask,gaussian,none,23.1919150808455,0.303095451913348
without_mask,gaussian,mean,30.966512412090147,0.7181286359887912
without_mask,gaussian,median,29.72683039898564,0.6532095460182589
without_mask,gaussian,none,23.69716609858819,0.49721180704639595
without_mask,gaussian,mean,30.367722867716658,0.818456665259022
without_mask,gaussian,median,29.408313820048466,0.769944269656266
without_mask,gaussian,none,23.235871151372677,0.28975697999165034
without_mask,gaussian,mean,30.89726428722254,0.7061223785036636
without_mask,gaussian,median,29.733019190008413,0.641281838966793
without_mask,gaussian,none,23.790205819167372,0.2852112786363556
without_mask,gaussian,mean,31.12652214489122,0.689787725238984
without_mask,gaussian,median,29.880810580615076,0.6144239678696096
without_mask,gaussian,none,23.50549184552335,0.33811134337814003
without_mask,gaussian,mean,31.04729400153151,0.742179532351471
without_mask,gaussian,median,29.972874195804646,0.684885577946599
without_mask,saltpepper,none,17.361084200593186,0.3085679880193119
without_mask,saltpepper,mean,26.114058050232916,0.6064476398114983
without_mask,saltpepper,median,39.96306342819811,0.9762073891543078
without_mask,saltpepper,none,17.7493327791759,0.3084665138658644
without_mask,saltpepper,mean,25.43754896015291,0.5681372519642315
without_mask,saltpepper,median,31.423713691531844,0.8906545522829997
without_mask,saltpepper,none,18.350606754187243,0.3198277706048214
without_mask,saltpepper,mean,26.557787009532603,0.6335042019780349
without_mask,saltpepper,median,34.788693332386174,0.9330593254376573
without_mask,saltpepper,none,17.320907640641558,0.28570917451906735
without_mask,saltpepper,mean,26.082621842644585,0.5914815907764831
without_mask,saltpepper,median,40.60275356975738,0.9810600031665077
without_mask,saltpepper,none,17.66471347060007,0.34247250328649875
without_mask,saltpepper,mean,26.434911152016518,0.6685376444377263
without_mask,saltpepper,median,38.215046927508,0.9751814909991214
without_mask,saltpepper,none,17.736646561022773,0.41590947362197356
without_mask,saltpepper,mean,23.72513494542483,0.6129305740267191
without_mask,saltpepper,median,28.680494155775417,0.8642031056887047
without_mask,saltpepper,none,17.011297346199218,0.37886220371199314
without_mask,saltpepper,mean,23.452398937405796,0.5471820064583157
without_mask,saltpepper,median,29.379627290886923,0.9305339602176614
without_mask,saltpepper,none,18.1543498818788,0.2535120653363181
without_mask,saltpepper,mean,27.149702403535514,0.6015207512455375
without_mask,saltpepper,median,39.97364937271223,0.9712994413825952
without_mask,saltpepper,none,17.712998854383354,0.45136650686589047
without_mask,saltpepper,mean,24.775505252242365,0.6943781939773138
without_mask,saltpepper,median,30.895607721909506,0.9326032510977958
without_mask,saltpepper,none,17.443019496098824,0.3173709219664645
without_mask,saltpepper,mean,26.27443495784012,0.621445827905906
without_mask,saltpepper,median,40.002587697208575,0.9844342358055052
without_mask,saltpepper,none,17.5627438229576,0.28466561328310397
without_mask,saltpepper,mean,26.28724688135135,0.5863242362343201
without_mask,saltpepper,median,38.68211898763314,0.9657960925298569
without_mask,saltpepper,none,18.046529904248175,0.35373266391377395
without_mask,saltpepper,mean,26.551569632960856,0.6840780568067687
without_mask,saltpepper,median,36.823758130775566,0.9658132540854826
without_mask,saltpepper,none,17.093708986543284,0.35374863235966086
without_mask,saltpepper,mean,25.227995512623043,0.5931945676601919
without_mask,saltpepper,median,35.52520563017595,0.9683844622155307
without_mask,saltpepper,none,17.597426266249286,0.24277654665834478
without_mask,saltpepper,mean,26.322327636645095,0.5431659212029317
without_mask,saltpepper,median,41.487148101969915,0.9787832646086704
without_mask,saltpepper,none,17.864646919415186,0.23743464510990156
without_mask,saltpepper,mean,26.859071732961937,0.5672778041920409
without_mask,saltpepper,median,41.07079976959608,0.9765625983683677
without_mask,saltpepper,none,18.042901798911977,0.26022291649098905
without_mask,saltpepper,mean,26.791966867688206,0.5895665383930778
without_mask,saltpepper,median,38.04971326932995,0.9668023204061057
without_mask,saltpepper,none,17.80002398534574,0.2928301358571901
without_mask,saltpepper,mean,26.46928502467519,0.6044358578109623
without_mask,saltpepper,median,38.219483780075166,0.9662929498660806
without_mask,saltpepper,none,17.177110341142622,0.2838271630988234
without_mask,saltpepper,mean,26.025648834638815,0.5729119777981421
without_mask,saltpepper,median,39.811879187463035,0.9795901799160163
without_mask,saltpepper,none,18.011238692465767,0.23246791264615288
without_mask,saltpepper,mean,26.781569372175685,0.5546809013761869
without_mask,saltpepper,median,38.74390021271357,0.9569775005805458
without_mask,saltpepper,none,17.255170201424622,0.2874043486011396
without_mask,saltpepper,mean,26.034482203376037,0.5768362314409718
without_mask,saltpepper,median,41.91072793316803,0.9837840096383869
without_mask,saltpepper,none,16.982337630403524,0.4236604418895163
without_mask,saltpepper,mean,23.734467937165565,0.6006708905561907
without_mask,saltpepper,median,29.033507145879646,0.8782284559882276
without_mask,saltpepper,none,17.993719847436346,0.3240414867133292
without_mask,saltpepper,mean,26.776277016217037,0.6540023332195828
without_mask,saltpepper,median,38.61322142297407,0.9749554281531267
without_mask,saltpepper,none,17.5945521375446,0.3417486670342631
without_mask,saltpepper,mean,26.29921369219659,0.6561415428582168
without_mask,saltpepper,median,38.276073714146406,0.9723250113964693
without_mask,saltpepper,none,18.066808485956244,0.27470278447728985
without_mask,saltpepper,mean,26.96571040519659,0.6174333194059606
without_mask,saltpepper,median,39.84407984351448,0.9741482586958753
without_mask,saltpepper,none,17.088861990638616,0.42083941036035316
without_mask,saltpepper,mean,23.57582534463922,0.5899831867499518
without_mask,saltpepper,median,27.36692757492598,0.809390295735014
without_mask,saltpepper,none,18.17009691019788,0.22459677155144175
without_mask,saltpepper,mean,27.17364335938199,0.5729406537946687
without_mask,saltpepper,median,40.879540089793394,0.9794696694538362
without_mask,saltpepper,none,17.232452154782123,0.37863827998942384
without_mask,saltpepper,mean,25.815694352271578,0.6609517109920889
without_mask,saltpepper,median,38.60910106124998,0.9798870649479584
without_mask,saltpepper,none,18.231678615021004,0.21508702214313144
without_mask,saltpepper,mean,27.342619368036004,0.5640512234448876
without_mask,saltpepper,median,42.10443668091163,0.9786650418935992
without_mask,saltpepper,none,16.701671581243108,0.2421753687306265
without_mask,saltpepper,mean,25.498554211338522,0.4698866908037813
without_mask,saltpepper,median,40.275372167635865,0.9791360970066961
without_mask,saltpepper,none,17.500459354345814,0.24875663499020542
without_mask,saltpepper,mean,26.478152051118755,0.5713301290899767
without_mask,saltpepper,median,43.13287234309749,0.984483508097278
without_mask,blur,none,33.72004744159406,0.9565888392571722
