class,method,compression_ratio,psnr,ssim
without_mask,jpeg_q30,4.2547601831766695,35.568388465644446,0.930624844424623
without_mask,jpeg_q70,2.482142857142857,40.215390887263105,0.9690637617834851
without_mask,jpeg_q90,1.304151891252955,44.50895995344912,0.9865039763058571
without_mask,wavelet_t70,3.299622388184946,47.134890415975825,0.9911201158235791
without_mask,wavelet_t90,9.997864225781846,37.7686056303346,0.9461498409366159
without_mask,jpeg_q30,3.78125,38.13842891913279,0.9525796103666079
without_mask,jpeg_q70,2.367294204503507,43.560628561110164,0.9814047627920651
without_mask,jpeg_q90,1.3269190978688186,48.02227642036481,0.991864886365402
without_mask,wavelet_t70,3.298293881796373,49.13479004559889,0.9939061278693533
without_mask,wavelet_t90,9.984663044030267,41.06622920413368,0.9657024934373571
without_mask,jpeg_q30,3.8382038488952244,36.75869042360993,0.9483690980281222
without_mask,jpeg_q70,2.3389315187490953,41.849467028980236,0.9795768840764891
without_mask,jpeg_q90,1.3104315379623621,46.41032547863723,0.9915347869303642
without_mask,wavelet_t70,3.293321496172465,47.027806830803755,0.9914665135417348
without_mask,wavelet_t90,9.99176703765818,37.14902856290108,0.9465793830910337
without_mask,jpeg_q30,3.833778857837181,36.968887040627806,0.9502967280382091
without_mask,jpeg_q70,2.3251289609432573,42.31621440939734,0.9811982156323568
without_mask,jpeg_q90,1.3242676068160832,46.99683469152382,0.9923073695617556
without_mask,wavelet_t70,3.33211307707952,46.30815767839968,0.9902883014644583
without_mask,wavelet_t90,9.98922873691698,37.56697092748248,0.9483072255907086
without_mask,jpeg_q30,4.273998136067101,30.68933868833383,0.8905247153664715
without_mask,jpeg_q70,2.4400106411279596,34.78210056963662,0.9433343860465091
without_mask,jpeg_q90,1.3157366231530627,39.30702639193066,0.975204353237503
without_mask,wavelet_t70,3.3290663415625317,42.2163032399954,0.9807943537805791
without_mask,wavelet_t90,9.997355842570935,30.9491417125292,0.8769653976126651
without_mask,jpeg_q30,4.323711340206185,35.55592553035457,0.9247285982171413
without_mask,jpeg_q70,2.4800262812089358,40.10072169016685,0.9679586905243315
without_mask,jpeg_q90,1.3013169689029855,44.601503933509086,0.9869806941013293
without_mask,wavelet_t70,3.311738844812775,46.55387999917993,0.9897647725099658
without_mask,wavelet_t90,9.9811148339933,37.158439014878255,0.9365463093236427
without_mask,jpeg_q30,3.956559894690654,33.706544708543845,0.9421453648271977
without_mask,jpeg_q70,2.392094442233718,37.942107380363375,0.972125974995917
without_mask,jpeg_q90,1.3053926891060441,42.625443591360266,0.9882630928898957
without_mask,wavelet_t70,3.320744519136574,48.07780460000039,0.9941947408280652
without_mask,wavelet_t90,9.994814701845357,34.73712007764221,0.9441593112917007
without_mask,jpeg_q30,3.835722819593787,38.36093071347892,0.9525261403317974
without_mask,jpeg_q70,2.4221048660882687,43.69371198609918,0.9823507137083762
without_mask,jpeg_q90,1.3367336317268659,47.96077437983268,0.9919963421478425
without_mask,wavelet_t70,3.3131898687248276,49.38676384907711,0.9938898438483608
without_mask,wavelet_t90,9.994814701845357,39.9349017400863,0.9635263885942563
without_mask,jpeg_q30,4.045550400674821,34.938486487616814,0.9355411662543487
without_mask,jpeg_q70,2.4185577407967727,39.58132256150572,0.9730319038109201
without_mask,jpeg_q90,1.3106510897041743,44.05718368051723,0.9886124556695727
without_mask,wavelet_t70,3.320800608056752,45.58488741507959,0.9880667255975193
without_mask,wavelet_t90,9.993290637389448,35.549132636072,0.927058084233145
